Protein	H5LungInf3d-H5LungPBS4d_log2FC	H5LungInf3d-H5LungPBS4d_adj.pvalue	H5LungInf4d-H5LungPBS4d_log2FC	H5LungInf4d-H5LungPBS4d_adj.pvalue
195.1/5.9	-0.611510961709269	0.99997651208131	0.498716515089335	0.499763941600998
196.1/20.3	-0.156488820690293	0.99997651208131	-0.457508647379838	0.599319079718343
196.1/20.9	-0.193086719346599	0.99997651208131	-0.397006420203163	0.663738383651148
196.1/9.3	-2.04130704272392	0.609907076226866	-0.135230995428928	0.950605170332235
196.9/9.7	-0.248461809606789	0.99997651208131	0.887652289366003	0.631626011701843
197.1/10.1	-0.411065461569299	0.99997651208131	0.175963637344371	0.932639671074179
197.1/11.0	-0.100104303596214	0.99997651208131	-0.305942742632497	0.743466738736936
197.1/20.3	-0.0684431182031737	0.99997651208131	-0.375449255108016	0.730622668610024
197.1/20.8	-0.158172398459738	0.99997651208131	-0.334213828980253	0.711588443719361
198.0/9.4	1.5779468405352	0.862110725984443	-4.15713977737791	0.00065060838936431
198.1/10.1	0.488802442005922	0.99997651208131	0.351532905214997	0.658472609449814
198.2/2.3	0.157597853823554	0.99997651208131	-0.759661640492145	0.257127150716141
199.1/5.2	0.137199429890444	0.99997651208131	0.607419119589851	0.256344985834793
199.1/5.9	-0.210531714176666	0.99997651208131	0.513399961655013	0.49693368516366
199.2/9.4	0.30904732540012	0.99997651208131	-0.616105208203552	0.579026456687292
200.0/10.2	0.0772581397519756	0.99997651208131	1.96884965052754	0.260306203527306
200.1/4.6	1.43108378478838	0.99997651208131	-0.882846172471725	0.695140154179237
200.1/5.2	-0.177336581466655	0.99997651208131	1.29215332683211	0.274288325351957
200.1/5.9	-0.0317674237182232	0.99997651208131	1.16471804281398	0.206306596858898
200.6/21.0	-0.150939417949346	0.99997651208131	-0.398408492994612	0.647349239924871
201.0/5.5	0.812265050326641	0.897277931030339	-0.331098298981946	0.744037366011746
201.9/9.8	0.582446965904156	0.99997651208131	1.25447368474672	0.611658676705004
202.1/20.9	-0.096887116337738	0.99997651208131	-0.20167010057447	0.823111399333914
